country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes,X
USA,PG,170000000,2011,16000,7.5,1.85,42000,71
USA,PG-13,170000000,1999,4000,4.8,1.85,0,72
USA,PG-13,145000000,2008,3000,5.2,2.35,0,73
USA,PG-13,175000000,2016,336,6.9,2.35,80000,74
USA,PG,175000000,2007,11000,5.4,2.35,2000,75
USA,PG-13,178000000,2014,854,7.9,2.35,77000,76
USA,PG-13,175000000,1995,60,6.1,1.85,0,77
USA,PG-13,175000000,2009,2000,5.8,2.35,0,78
USA,PG,175000000,2015,767,8.3,1.85,118000,79
UK,PG,175000000,2016,13000,7.8,1.85,65000,80
USA,PG-13,200000000,2010,19000,7,2.35,18000,81
USA,PG-13,170000000,2012,17000,6.1,2.35,53000,82
USA,PG,180000000,2014,2000,7,2.35,89000,83
USA,PG-13,170000000,2014,2000,7.6,1.85,45000,84
Belgium,R,,2015,525,4.5,,677,85
USA,PG-13,175000000,2013,1000,6.3,2.35,35000,86
USA,PG-13,170000000,2014,11000,7.8,2.35,55000,87
USA,PG,165000000,2010,225,6.4,2.35,0,88
USA,PG,190000000,2015,638,6.5,2.2,37000,89
USA,PG,165000000,2014,719,7.9,2.39,41000,90
USA,PG,165000000,2012,931,7.8,2.35,40000,91
USA,G,165000000,2004,726,6.6,2.35,10000,92
USA,PG-13,165000000,2016,812,5.5,2.35,67000,93
USA,PG,165000000,2010,953,8.2,2.35,33000,94
USA,R,200000000,2003,284,6.4,2.35,0,95
USA,PG-13,170000000,2014,14000,8.1,2.35,96000,96
USA,PG-13,165000000,2014,11000,8.6,2.35,349000,97
USA,PG-13,160000000,2010,27000,8.8,2.35,175000,98
Japan,,,2016,106,8.2,2.35,0,99
USA,PG-13,180000000,2012,972,7.9,2.35,166000,100
USA,PG-13,38000000,2001,14000,6.7,2.35,14000,101
USA,PG-13,150000000,2008,1000,7.8,2.35,23000,102
USA,PG-13,160000000,2011,13000,7.8,2.35,54000,103
USA,PG-13,160000000,2015,22000,6.6,2.35,38000,104
USA,PG,150000000,2010,418,6.1,2.35,11000,105
USA,PG-13,160000000,2006,2000,5.6,2.35,0,106
USA,PG,170000000,2016,25000,6.4,1.85,30000,107
USA,PG,160000000,2007,795,6.1,1.85,0,108
USA,PG-13,160000000,2016,716,7.3,2.35,89000,109
USA,PG-13,155000000,2015,10000,6.6,2.35,82000,110
USA,PG,155000000,2010,82,6.3,1.78,11000,111
USA,PG-13,140000000,2001,961,6.1,2.35,0,112
USA,PG-13,150000000,2007,599,7.1,2.35,8000,113
Germany,R,155000000,2004,11000,5.5,2.35,0,114
UK,PG-13,150000000,2007,11000,7.5,2.35,0,115
UK,PG-13,150000000,2005,11000,7.6,2.35,0,116
USA,PG-13,150000000,2008,9000,6.4,2.35,0,117
USA,PG-13,150000000,2007,1000,7.2,2.35,11000,118
USA,PG,150000000,2005,16000,6.7,1.85,0,119
USA,G,150000000,2007,1000,8,2.35,10000,120
USA,PG-13,150000000,2005,14000,8.3,2.35,15000,121
USA,PG,150000000,2008,851,6.7,1.85,0,122
USA,PG,150000000,2009,3000,5.9,2.35,2000,123
USA,PG-13,150000000,2009,16000,6.7,2.35,0,124
Australia,R,150000000,2003,269,6.7,2.35,0,125
USA,PG,150000000,2013,523,7.6,2.24,58000,126
USA,R,150000000,2003,198,7.2,2.35,0,127
USA,PG-13,170000000,2013,20000,7.1,2.35,63000,128
Australia,R,150000000,2015,9000,8.1,2.35,191000,129
USA,PG-13,150000000,2009,745,6.7,2.35,0,130
USA,PG-13,150000000,2011,20000,7,2.35,63000,131
USA,PG,150000000,2008,759,6.9,1.85,0,132
USA,PG,150000000,2009,607,5.1,2.35,0,133
USA,PG-13,150000000,2012,897,5.8,1.85,19000,134
USA,PG-13,100000000,2012,17000,6.2,1.85,82000,135
China,PG-13,150000000,2015,10000,7.4,2.35,47000,136
USA,R,150000000,2010,490,5.8,1.85,0,137
USA,PG-13,180000000,2016,10000,6.6,2.35,29000,138
USA,PG,150000000,2007,852,6.2,1.85,0,139
USA,PG,150000000,2011,10000,7.3,2.35,20000,140
USA,PG,150000000,2010,756,4.2,2.35,18000,141
USA,PG-13,150000000,2006,10000,6.9,2.35,0,142
USA,PG-13,150000000,2013,551,6.4,2.35,33000,143
USA,PG,150000000,2011,562,5.4,2.35,0,144
UK,PG,149000000,2006,14000,6.7,1.85,0,145
USA,PG,150000000,2015,548,5.8,2.35,24000,146
USA,PG,145000000,2014,1000,6.9,1.85,11000,147
USA,R,175000000,2004,5000,7.2,2.35,0,148
USA,PG,145000000,2012,770,6.9,1.85,17000,149
UK,PG-13,142000000,2002,766,6.1,2.35,0,150
USA,PG-13,144000000,2016,370,5.5,2.35,62000,151
USA,PG-13,140000000,1998,12000,6.6,2.35,11000,152
USA,PG-13,140000000,2002,3000,6.1,1.85,2000,153
USA,PG-13,150000000,2007,12000,6.3,2.35,3000,154
USA,PG,145000000,2016,11000,7.2,2.35,24000,155
USA,PG-13,145000000,2011,10000,7.4,2.35,35000,156
USA,PG,145000000,2012,315,7.3,1.85,25000,157
USA,PG-13,100000000,2005,550,6.1,2.35,2000,158
USA,R,140000000,2003,956,7.7,2.35,0,159
UK,PG-13,140000000,2014,893,6.1,2.35,51000,160
USA,PG-13,150000000,2009,12000,8,2.35,19000,161
USA,PG-13,139000000,2002,11000,7.3,1.85,5000,162
USA,PG,145000000,2014,3000,7.9,2.35,46000,163
USA,PG-13,140000000,2016,934,5.5,2.35,24000,164
USA,PG-13,135000000,2005,780,5,2.35,0,165
USA,R,130000000,2009,745,7.7,2.35,18000,166
USA,R,140000000,1998,808,6.6,2.35,0,167
USA,PG-13,137000000,2003,300,5.7,1.85,0,168
USA,PG-13,130000000,2013,12000,5.8,2.35,42000,169
UK,PG-13,130000000,2005,973,6,2.35,0,170
USA,PG-13,137000000,2001,2000,6.4,1.85,0,171
USA,PG-13,140000000,2011,3000,6.9,2.35,46000,172
UK,PG-13,135000000,1999,536,6.4,2.35,2000,173
USA,PG-13,150000000,2003,172,7.4,2.35,0,174
USA,PG-13,120000000,2012,17000,5.5,2.35,65000,175
Australia,PG,135000000,2011,11000,5.9,2.35,0,176
USA,PG-13,150000000,2008,1000,6.8,2.35,0,177
USA,TV-14,1500000,,321,7.5,1.33,0,178
UK,PG,140000000,2016,400,6.8,2.35,27000,179
USA,R,135000000,2015,27000,8.1,2.35,190000,180
USA,PG,135000000,2013,881,6.5,2.35,13000,181
USA,PG,135000000,2011,1000,7.2,2.35,26000,182
USA,PG,132000000,2014,411,6.7,1.85,11000,183
USA,PG-13,110000000,2007,897,8.1,2.35,0,184
USA,PG,130000000,2008,967,7.6,2.35,6000,185
USA,PG-13,130000000,2015,2000,7.4,1.85,61000,186
USA,PG-13,130000000,2013,14000,7.6,2.35,82000,187
USA,PG-13,120000000,2012,17000,5.5,2.35,65000,188
USA,PG,135000000,2015,523,6.7,1.85,26000,189
USA,PG-13,132000000,2005,1000,6.5,1.85,0,190
USA,R,130000000,2003,898,6.6,2.35,0,191
USA,PG,130000000,2011,442,6.7,2.35,16000,192
USA,PG-13,110000000,2010,702,6.4,2.35,23000,193
USA,PG-13,125000000,2014,9000,5.8,1.85,71000,194
USA,PG,135000000,2011,871,7.4,2.35,44000,195
UK,PG,130000000,2004,10000,7.8,2.35,11000,196
Australia,PG-13,130000000,2008,284,6.6,2.35,0,197
USA,PG-13,130000000,2013,943,4.9,2.35,37000,198
USA,PG,127500000,2000,558,6.5,1.85,0,199
UK,,,2011,570,7.5,,40,200
USA,PG,127000000,2014,3000,6.2,1.85,11000,201
USA,PG,130000000,2010,11000,7.3,2.35,13000,202
UK,PG,125000000,2001,687,7.5,2.35,16000,203
USA,PG-13,130000000,2013,12000,5.6,2.35,20000,204
Japan,,,2016,106,8.2,2.35,0,205
USA,PG-13,140000000,2003,5000,8.1,2.35,10000,206
UK,,,2010,2000,6.4,,25,207
USA,PG-13,125000000,2014,22000,6.7,2.35,52000,208
USA,PG-13,125000000,2006,574,6.6,2.35,0,209
USA,G,103000000,2014,237,6.4,2.35,0,210
Canada,PG-13,110000000,2003,505,7.5,2.35,0,211
USA,PG-13,125000000,2011,14000,7.3,2.35,54000,212
USA,PG-13,125000000,2011,979,7.5,2.35,39000,213
USA,PG-13,125000000,2010,1000,5.8,2.35,15000,214
USA,R,65000000,1990,308,7.5,1.85,0,215
USA,R,85000000,1999,372,6.6,2.35,0,216
USA,PG-13,125000000,2012,826,6.7,2.35,31000,217
USA,PG-13,125000000,1997,890,3.7,1.85,0,218
USA,PG,123000000,2000,722,6,1.85,0,219
USA,PG-13,125000000,2004,2000,6.4,2.35,19000,220
USA,PG-13,125000000,2000,794,6.1,2.35,0,221
USA,PG-13,140000000,2000,638,6.4,2.35,0,222
USA,PG,130000000,2007,2000,5.6,2.35,0,223
USA,PG,120000000,2012,358,8,1.85,122000,224
USA,PG-13,110000000,2007,701,5.2,2.35,0,225
UK,PG-13,120000000,2016,365,7.1,2.35,31000,226
USA,PG-13,120000000,2003,1000,4.8,2.35,0,227
USA,R,130000000,2012,9000,7,2.35,97000,228
USA,PG,120000000,2002,799,5.4,1.85,459,229
USA,R,115000000,2013,2000,6.6,2.35,61000,230
USA,PG-13,105000000,2004,850,6.7,2.35,0,231
USA,PG-13,100000000,2014,2000,6.2,2.35,60000,232
USA,PG,120000000,2008,107,6.1,2.35,0,233
USA,PG-13,120000000,2010,216,5.3,1.85,0,234
USA,PG-13,117000000,2010,973,6.3,2.35,11000,235
USA,PG-13,120000000,2013,10000,7,2.35,71000,236
USA,PG-13,113000000,2005,16000,7.6,2.35,10000,237
USA,PG,115000000,2002,16000,6.7,1.78,0,238
USA,G,115000000,2001,1000,8.1,1.85,0,239
USA,PG-13,120000000,2013,992,6.7,2.35,68000,240
USA,PG,115000000,1999,14000,6.5,2.35,13000,241
USA,PG,135000000,2013,15000,7.3,2.35,28000,242
France,,78000000,2008,276,5.1,2.35,291,243
USA,R,115000000,2002,836,6,2.35,0,244
USA,PG-13,115000000,2016,11000,6.1,2.35,16000,245
USA,PG-13,125000000,2014,809,5.9,2.35,62000,246
UK,PG-13,100000000,2013,23,7.8,2.35,147000,247
USA,PG-13,116000000,1997,293,5.8,2.35,0,248
USA,PG-13,135000000,2016,833,6.3,2.35,12000,249
USA,PG-13,120000000,2015,360,4.3,2.35,41000,250
USA,PG,110000000,2006,3000,6.4,1.85,3000,251
USA,PG-13,110000000,2015,2000,6.1,2.35,52000,252
UK,PG-13,110000000,1997,766,6.5,2.35,0,253
USA,R,110000000,2000,2000,7.1,2.35,4000,254
USA,PG-13,110000000,2004,8000,6.4,2.35,0,255
USA,PG-13,120000000,2005,11000,6.5,2.35,0,256
USA,PG-13,110000000,2015,5000,6.3,2.35,27000,257
USA,PG-13,110000000,2004,3000,7.5,2.35,0,258
USA,PG,112000000,2010,392,4.9,2.35,0,259
USA,PG-13,120000000,2011,1000,5.8,2.35,14000,260
USA,TV-PG,,,554,7.6,4,0,261
USA,R,110000000,2014,1000,6.2,2.35,71000,262
USA,PG,110000000,2011,113,5.5,1.78,31000,263
USA,PG,110000000,2004,513,5.4,1.78,304,264
USA,PG-13,110000000,2016,5000,5.8,2.35,12000,265
USA,PG-13,110000000,2011,929,7.1,2.35,36000,266
USA,PG,105000000,2013,71,5.4,1.85,0,267
USA,PG-13,160000000,1997,368,3.7,2.35,894,268
USA,PG-13,110000000,2013,635,6.7,2.35,123000,269
USA,PG-13,110000000,2007,300,7.2,2.35,0,270
New Zealand,PG-13,93000000,2001,5000,8.8,2.35,21000,271
USA,PG,110000000,2004,1000,5.8,2.35,0,272
USA,R,107000000,2001,851,6.8,2.35,0,273
USA,PG,109000000,2003,743,3.8,1.85,946,274
USA,PG-13,120000000,2004,981,7.1,2.35,0,275
USA,R,130000000,2005,5000,7.2,2.35,0,276
Germany,PG,133000000,1999,886,5.9,1.85,0,277
USA,G,105000000,2009,578,7.1,1.85,5000,278
USA,PG-13,108000000,2015,801,8.1,2.35,153000,279
,,,,,7.2,,0,280
USA,PG-13,126000000,2005,12000,6.9,2.35,0,281
New Line,R,90000000,2001,631,4.4,1.85,53,282
USA,PG-13,90000000,2000,11000,6.5,2.35,0,283
USA,R,103000000,2000,933,8.5,2.35,21000,284
USA,PG-13,102000000,2002,798,7.7,2.35,0,285
UK,PG,100000000,2002,10000,7.4,2.35,0,286
UK,PG-13,150000000,2006,1000,8,2.35,0,287
USA,PG-13,100000000,2001,658,5.7,2.35,0,288
USA,R,102000000,1991,604,8.5,2.35,13000,289
USA,R,100000000,2009,23000,7,2.35,0,290
USA,R,100000000,2007,782,7.8,1.85,0,291
USA,R,115000000,1994,1000,7.2,2.35,0,292
USA,R,100000000,2009,464,6.4,2.35,0,293
USA,PG-13,100000000,2010,713,5.5,1.85,0,294
USA,PG-13,100000000,2010,8000,6.7,2.35,16000,295
USA,R,100000000,1996,773,6.1,2.35,0,296
USA,R,100000000,2012,11000,8.5,2.35,199000,297
USA,G,100000000,1996,700,6.9,1.78,0,298
USA,G,100000000,2000,452,7.3,1.66,0,299
USA,R,92000000,2012,13000,6.7,2.35,108000,300
USA,PG,100000000,2004,625,6.9,2.35,0,301
USA,PG,100000000,2006,762,5.1,2.35,0,302
Germany,PG,100000000,2009,468,6.8,2.35,11000,303
USA,PG,150000000,2015,548,5.8,2.35,24000,304
USA,PG,100000000,2013,151,6.7,2.35,17000,305
USA,PG-13,100000000,2010,11000,6,2.35,25000,306
USA,R,83000000,1999,1000,5.7,2.35,2000,307
Germany,R,100000000,2006,3000,8,2.35,14000,308
USA,R,100000000,2013,11000,8.2,2.35,138000,309
USA,PG-13,100000000,1995,710,5.4,1.85,0,310
USA,R,105000000,1997,475,7.2,1.85,0,311
Germany,R,102000000,2012,5000,7.5,2.35,124000,312
USA,PG,80000000,2010,653,7,2.35,16000,313
USA,PG-13,100000000,2004,825,3.3,2.35,0,314
USA,PG-13,100000000,2014,3000,6,2.35,21000,315
USA,PG,140000000,2002,770,7.1,1.5,0,316
USA,PG-13,100000000,2009,735,5.4,1.85,0,317
USA,PG-13,90000000,2014,13000,6.1,2.35,56000,318
USA,PG-13,105000000,2015,897,5.3,2.35,37000,319
USA,PG,84000000,2005,294,2.2,1.85,881,320
USA,PG-13,100000000,2015,911,7,1.85,27000,321
USA,PG-13,100000000,2002,695,3.8,1.85,416,322
France,R,100000000,2010,537,6.9,2.35,0,323
USA,G,99000000,2015,42,7.2,1.85,33000,324
USA,PG,10000000,1997,508,7.3,1.85,578,325
USA,PG-13,98000000,2001,3000,6.3,2.35,0,326
USA,R,100000000,2002,14000,7.5,2.35,0,327
China,R,94000000,2011,196,7.6,2.35,13000,328
USA,PG,100000000,2007,11000,6.8,1.85,0,329
USA,PG-13,90000000,2004,2000,5.2,1.85,0,330
USA,R,92000000,2001,820,7.7,2.35,10000,331
USA,R,95000000,2012,331,6.2,1.85,18000,332
France,PG-13,93000000,1997,13000,7.7,2.35,18000,333
USA,R,100000000,2010,740,4.3,1.85,0,334
USA,PG,95000000,2000,919,6.9,1.85,0,335
USA,PG,95000000,2012,1000,6.6,2.35,14000,336
USA,PG,95000000,2015,520,7,2.35,56000,337
USA,PG-13,65000000,2009,560,6.7,2.35,16000,338
USA,G,94000000,2003,939,8.2,1.85,11000,339
USA,PG-13,94000000,2003,857,8.9,2.35,16000,340
USA,PG-13,94000000,2002,5000,8.7,2.35,10000,341
USA,PG-13,95000000,2014,3000,5.5,2.35,16000,342
USA,PG-13,115000000,2001,509,5.7,2.35,0,343
UK,PG-13,100000000,2014,11000,6.3,2.35,37000,344
USA,PG-13,93000000,2001,595,5.9,1.85,0,345
USA,PG-13,93000000,2011,1000,7.6,2.35,47000,346
USA,PG,90000000,2008,419,6.6,2.35,0,347
USA,R,92000000,2013,787,5.3,1.85,66000,348
USA,PG-13,107000000,2004,973,6,2.35,701,349
USA,PG,92000000,2004,723,8,2.35,0,350
USA,PG-13,98000000,1995,903,5.6,2.35,1000,351
UK,PG,95000000,2010,3000,5.9,2.35,9000,352
USA,PG-13,90000000,1997,826,7.3,1.85,0,353
USA,G,90000000,1999,1000,7.9,1.85,0,354
USA,PG-13,100000000,2010,3000,6.8,2.35,18000,355
USA,PG-13,90000000,2001,165,6.6,2.35,0,356
USA,PG-13,100000000,2000,627,6.6,2.35,0,357
USA,PG,100000000,2009,526,7,2.35,0,358
USA,PG,90000000,2009,256,7,1.85,0,359
USA,PG,90000000,2013,806,7.3,2.35,70000,360
USA,PG-13,92000000,2000,1000,5.5,2.35,0,361
USA,R,90000000,2006,13000,8.5,2.35,29000,362
USA,G,90000000,1998,500,7.5,1.66,12000,363
USA,R,92000000,2008,1000,7,2.35,0,364
USA,R,90000000,2011,1000,7.8,2.35,54000,365
USA,R,90000000,1995,559,7.6,2.35,0,366
USA,PG-13,90000000,2009,979,7.6,1.85,20000,367
USA,PG-13,,2016,745,6.1,2.35,0,368
USA,PG,120000000,2001,802,6.8,2.35,0,369
USA,PG,90000000,2015,1000,5,1.85,0,370
USA,PG-13,75000000,2008,1000,7.1,1.85,0,371
USA,PG-13,90000000,2008,600,5.5,1.85,0,372
USA,PG-13,88000000,2015,11000,5.6,2.35,39000,373
USA,PG-13,100000000,2001,882,7.1,1.85,11000,374
USA,PG,90000000,2003,569,4.9,2.35,988,375
USA,PG,90000000,1997,1000,7.4,2.35,15000,376
USA,R,95000000,2000,624,5.7,1.85,0,377
UK,PG-13,80000000,2005,249,6.4,2.35,0,378
USA,PG,90000000,2013,956,5.9,2.35,28000,379
USA,PG-13,95000000,2003,11000,5.5,2.35,0,380
USA,PG-13,90000000,2016,11000,6.9,2.35,15000,381
USA,PG-13,68000000,1997,117,6.2,2.35,0,382
Germany,R,92000000,2001,577,7,2.35,0,383
USA,PG,90000000,2000,933,5.6,2.35,0,384
USA,G,90000000,2011,560,7,2.35,19000,385
USA,PG,100000000,1999,1000,6.8,1.85,0,386
USA,PG-13,90000000,1997,643,5.4,1.85,2000,387
USA,R,86000000,1997,11000,6.1,2.35,979,388
UK,PG-13,100000000,2002,602,6.7,2.35,0,389
USA,PG-13,120000000,2015,360,4.3,2.35,41000,390
USA,R,20000000,1982,691,6.9,2.35,0,391
USA,PG-13,88000000,2005,655,8,2.35,0,392
UK,PG,90000000,2010,886,4.4,2.35,788,393
USA,PG-13,87000000,2003,947,7.3,2.35,0,394
USA,PG-13,92000000,1996,946,6.3,2.35,0,395
USA,PG-13,38000000,2001,14000,6.7,2.35,14000,396
USA,PG-13,90000000,2000,410,7.7,1.85,23000,397
USA,PG,100000000,2006,20000,6.5,2.35,0,398
USA,PG-13,75000000,2004,805,7.8,2.35,0,399
USA,R,85000000,1997,10000,6.4,2.35,0,400
USA,PG-13,85000000,2001,1000,7.8,2.35,0,401
Germany,PG-13,75000000,2011,8000,5.8,2.35,19000,402
USA,PG,85000000,2012,11000,7.1,1.85,28000,403
USA,PG,85000000,2007,142,7.1,2.35,0,404
USA,TV-14,,,183,8.6,1.78,59000,405
USA,R,85000000,2012,16000,6.8,2.35,19000,406
USA,G,85000000,2000,795,4.8,1.85,372,407
USA,PG-13,75000000,2011,906,6.2,2.35,0,408
USA,PG-13,85000000,2006,3000,6.9,1.85,19000,409
USA,R,90000000,1998,660,7.3,2.35,0,410
USA,R,85000000,2009,2000,6.6,1.85,0,411
USA,PG-13,85000000,2007,13000,6.9,2.35,0,412
USA,PG,85000000,2006,650,6.2,1.85,863,413
USA,PG-13,85000000,2014,5000,6.7,2.35,49000,414
USA,R,68000000,2001,35,7.6,2.35,0,415
USA,PG-13,85000000,2003,3000,6.7,2.35,0,416
USA,PG-13,70000000,1993,442,6.2,2.35,0,417
USA,PG-13,85000000,2005,691,7.3,2.35,0,418
USA,PG-13,85000000,2006,227,6,2.35,0,419
UK,PG,100000000,2011,579,7.1,1.85,0,420
USA,PG-13,90000000,1998,11000,7.1,1.85,10000,421
USA,R,85000000,2002,174,5.5,1.85,941,422
USA,R,,1979,388,7.8,1.85,0,423
USA,PG,85000000,2012,886,5.6,1.85,18000,424
USA,PG-13,60000000,2010,1000,7.5,1.85,36000,425
USA,PG-13,60000000,2003,345,5.4,2.35,0,426
USA,PG-13,65000000,2000,592,4.3,1.85,374,427
USA,PG,84000000,2002,2000,4.9,1.85,0,428
UK,R,35000000,2012,107,7.1,2.35,46000,429
USA,PG-13,70000000,2006,1000,6.4,1.85,7000,430
USA,R,8000000,1982,826,6.9,1.85,0,431
USA,PG,85000000,2010,760,4.3,1.85,0,432
USA,PG-13,85000000,2008,4000,6.1,2.35,0,433
USA,PG-13,85000000,2008,169,7,1.85,3000,434
USA,R,65000000,2007,15000,7.7,2.35,12000,435
USA,PG-13,82000000,2000,975,5.9,2.35,0,436
USA,PG-13,81000000,2003,7000,6.7,1.85,0,437
USA,R,80000000,2010,13000,6.5,2.35,57000,438
USA,PG-13,80000000,1996,1000,7.1,2.35,0,439
USA,PG-13,78000000,2012,14000,7.3,2.35,140000,440
USA,R,80000000,2011,670,6.5,2.35,56000,441
USA,PG-13,80000000,1992,811,7,1.85,0,442
USA,PG,80000000,2006,7000,6.8,1.85,0,443
USA,PG,80000000,2002,533,7.2,1.66,0,444
USA,G,,2006,8000,6.4,1.85,0,445
USA,PG-13,75000000,1998,4000,6.1,2.35,0,446
USA,PG-13,84000000,2013,12000,6.7,2.35,22000,447
USA,PG-13,82000000,2005,437,6.4,2.35,0,448
USA,G,75000000,2011,1000,4.4,1.85,0,449
USA,PG-13,80000000,2013,11000,5.4,1.85,14000,450
USA,PG-13,80000000,2008,12000,6.5,1.85,0,451
USA,PG-13,80000000,2003,4000,6.7,1.85,0,452
USA,R,80000000,2010,223,8.1,2.35,53000,453
Germany,PG-13,80000000,2008,3000,5.6,1.85,0,454
USA,PG,75000000,2005,311,6.3,1.85,0,455
USA,R,80000000,1997,1000,7.3,2.35,11000,456
USA,PG,80000000,2008,869,6.1,2.35,0,457
USA,R,80000000,2002,1000,7.7,2.35,0,458
USA,PG-13,80000000,2011,3000,6.4,1.85,19000,459
USA,TV-MA,,,4,8.8,16,55000,460
USA,R,75000000,1997,878,6.8,2.35,0,461
USA,PG-13,80000000,2008,982,6.6,2.35,0,462
USA,R,79000000,2003,20000,7.2,2.35,0,463
USA,R,80000000,2010,15000,6.9,2.35,20000,464
USA,PG,80000000,1997,570,5.2,1.85,0,465
USA,PG-13,80000000,1999,960,4.9,2.35,0,466
USA,PG,80000000,1996,967,6.3,1.77,0,467
USA,PG,65000000,2006,177,5.6,1.85,0,468
USA,PG-13,80000000,2008,4000,5.5,2.35,0,469
USA,R,75000000,1997,137,6.7,2.35,0,470
USA,R,68000000,2014,8000,7.6,2.35,82000,471
USA,PG-13,70000000,1998,643,5.7,2.35,0,472
USA,PG,80000000,2010,642,4.6,1.85,0,473
USA,G,80000000,2002,503,7,2.35,4000,474
USA,PG,80000000,2011,1000,5.2,2.35,0,475
USA,PG-13,80000000,1998,882,5.1,2.35,0,476
USA,R,80000000,2004,1000,6.6,1.85,0,477
USA,PG-13,,1997,577,7,1.85,91,478
USA,PG,80000000,2015,11000,6.7,1.85,16000,479
USA,TV-G,,,960,7.6,4,0,480
USA,G,80000000,1999,243,7.3,1.78,607,481
USA,PG-13,80000000,2002,639,5.9,2.35,3000,482
USA,PG,90000000,1998,496,5.6,1.85,0,483
USA,R,80000000,2001,3000,6.5,2.35,0,484
USA,PG,75000000,2005,277,5.9,2.35,951,485
USA,PG-13,85000000,1998,448,7,2.35,32000,486
