color,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,X
Color,Hideaki Anno,1,120,28,12,Shin'ya Tsukamoto,544,,99
Color,Peter Jackson,645,182,0,773,Adam Brown,5000,303001229,100
Color,Rob Cohen,187,106,357,4000,Vin Diesel,23000,144512310,101
Color,David Fincher,362,166,21000,919,Jason Flemyng,11000,127490802,102
Color,Matthew Vaughn,500,132,905,1000,Michael Fassbender,34000,146405371,103
Color,Francis Lawrence,389,137,508,14000,Philip Seymour Hoffman,34000,281666058,104
Color,Jon Turteltaub,235,109,226,370,Omar Benson Miller,12000,63143812,105
Color,Wolfgang Petersen,231,98,249,702,Mike Vogel,87000,60655503,106
Color,James Bobin,218,113,33,11000,Alan Rickman,40000,76846624,107
Color,Chris Miller,227,93,50,692,Eric Idle,3000,320706665,108
Color,Duncan Jones,275,123,0,648,Callum Rennie,3000,46978995,109
Color,Alan Taylor,474,126,230,2000,Emilia Clarke,24000,89732035,110
Color,Michael Apted,228,113,150,59,Shane Rangi,531,104383624,111
 Black and White,Michael Bay,191,184,0,691,Jaime King,3000,198539855,112
Color,Michael Bay,396,144,0,581,Michael O'Neill,662,318759914,113
Color,Oliver Stone,248,206,0,591,Angelina Jolie Pitt,12000,34293771,114
Color,David Yates,329,138,282,687,Daniel Radcliffe,21000,292000866,115
Color,Mike Newell,295,157,179,10000,Daniel Radcliffe,21000,289994397,116
Color,Peter Berg,318,102,532,979,Charlize Theron,10000,227946274,117
Color,Francis Lawrence,323,104,508,558,Alice Braga,10000,256386216,118
Color,Tim Burton,276,115,13000,588,Christopher Lee,40000,206456431,119
Color,Brad Bird,318,111,663,954,John Ratzenberger,1000,206435493,120
Color,Christopher Nolan,478,128,22000,11000,Liam Neeson,23000,205343774,121
Color,Eric Darnell,167,89,35,436,Jada Pinkett Smith,1000,179982968,122
Color,Shawn Levy,185,105,189,1000,Rami Malek,49000,177243721,123
Color,Gavin Hood,350,119,151,2000,Ryan Reynolds,20000,179883016,124
Color,Lana Wachowski,245,129,0,233,Collin Chou,309,139259759,125
Color,Chris Buck,406,102,69,490,Maurice LaMarche,1000,400736600,126
Color,Lana Wachowski,275,138,0,30,Daniel Bernhardt,234,281492479,127
Color,Alan Taylor,486,112,230,12000,Natalie Portman,26000,206360018,128
Color,George Miller,739,120,750,943,Charlize Theron,27000,153629485,129
Color,Ron Howard,298,146,2000,294,Ayelet Zurer,15000,133375846,130
Color,Kenneth Branagh,516,115,0,12000,Natalie Portman,26000,181015141,131
Color,Byron Howard,225,96,59,699,Diedrich Bader,17000,114053579,132
Color,Hoyt Yeatman,145,88,12,182,Piper Mackenzie Harris,730,119420252,133
Color,Jonathan Liebesman,310,99,473,502,Edgar Ramírez,14000,83640426,134
Color,Tim Burton,526,113,13000,16000,Chloë Grace Moretz,40000,79711678,135
Color,Christopher McQuarrie,465,131,188,641,Jeremy Renner,10000,195000874,136
Color,Joe Johnston,357,119,394,162,Simon Merrells,12000,61937495,137
Color,David Yates,248,110,282,103,Alexander Skarsgård,11000,124051759,138
Color,Steve Hickner,194,91,58,826,Oprah Winfrey,2000,126597121,139
Color,Jennifer Yuh Nelson,284,90,90,15,Gary Oldman,11000,165230261,140
Color,M. Night Shyamalan,280,103,0,346,Noah Ringer,1000,131564731,141
Color,J.J. Abrams,310,124,14000,979,Tom Cruise,22000,133382309,142
Color,Roland Emmerich,339,131,776,256,Jake Weber,17000,73103784,143
Color,Simon Wells,132,88,25,433,Dan Fogler,921,21379315,144
Color,David Bowers,135,85,42,586,Kate Winslet,20000,64459316,145
Color,Joe Wright,256,111,456,394,Cara Delevingne,20000,34964818,146
Color,Rob Minkoff,196,92,50,517,Zach Callison,3000,111505642,147
Color,Wolfgang Petersen,220,196,249,844,Orlando Bloom,11000,133228348,148
Color,Eric Darnell,211,93,35,436,Martin Short,851,216366733,149
 Black and White,Lee Tamahori,264,133,93,746,Colin Salmon,769,160201106,150
Color,Paul Feig,464,116,176,322,Kate McKinnon,783,118099659,151
Color,Michael Bay,167,153,0,537,Steve Buscemi,13000,201573391,152
Color,Barry Sonnenfeld,208,88,188,826,Rosario Dawson,10000,190418803,153
Color,Robert Zemeckis,287,115,0,964,Anthony Hopkins,18000,82161969,154
Color,Alessandro Carloni,210,95,5,967,Angelina Jolie Pitt,24000,143523463,155
Color,Brad Bird,432,133,663,690,Jeremy Renner,10000,209364921,156
Color,Peter Ramsey,256,97,52,161,Kamil McFadden,20000,103400692,157
Color,Dean Parisot,135,90,23,233,Richard Burgi,957,110332737,158
Color,Edward Zwick,190,154,380,445,Tony Goldwyn,10000,111110575,159
Color,Ridley Scott,314,150,0,748,María Valverde,23000,65007045,160
Color,J.J. Abrams,518,127,14000,981,Leonard Nimoy,26000,257704099,161
Color,Sam Raimi,291,121,0,4000,James Franco,24000,403706375,162
Color,Dean DeBlois,292,102,255,953,Djimon Hounsou,18000,176997107,163
Color,Alex Proyas,184,126,295,284,Elodie Yung,18000,31141074,164
Color,Rob Cohen,145,121,357,653,Joe Morton,820,31704416,165
Color,Zack Snyder,451,215,0,413,Billy Crudup,986,107503316,166
Color,Richard Donner,141,127,503,91,Rene Russo,5000,129734803,167
Color,Ang Lee,267,138,0,258,Regi Davis,820,132122995,168
Color,Jon M. Chu,351,122,209,934,Dwayne Johnson,17000,122512052,169
Color,Breck Eisner,163,124,42,848,Rainn Wilson,11000,68642452,170
Color,Hironobu Sakaguchi,166,106,6,422,Ming-Na Wen,12000,32131830,171
Color,Joe Johnston,510,124,394,2000,Dominic Cooper,11000,176636816,172
Color,Michael Apted,197,128,150,244,Maria Grazia Cucinotta,766,126930660,173
Color,Peter Weir,244,138,608,168,Lee Ingleby,613,93926386,174
Color,Bill Condon,322,115,386,12000,Kristen Stewart,21000,292298923,175
Color,George Miller,156,100,750,988,Brad Pitt,49000,63992328,176
Color,Louis Leterrier,354,135,255,882,Peter Mensah,3000,134518390,177
,,,,,,,,,178
Color,Steven Spielberg,252,117,14000,358,Penelope Wilton,535,52792307,179
Color,Alejandro G. Iñárritu,556,156,0,733,Tom Hardy,29000,183635922,180
Color,David Soren,166,96,13,463,Snoop Dogg,16000,83024900,181
Color,Gore Verbinski,362,107,563,939,Ray Winstone,40000,123207194,182
Color,Eric Darnell,153,92,35,179,Annet Mahendru,19000,83348920,183
Color,Paul Greengrass,329,115,521,883,Edgar Ramírez,13000,227137090,184
Color,Mark Osborne,266,92,54,562,Wayne Knight,11000,215395021,185
Color,Peyton Reed,517,117,235,680,Hayley Atwell,2000,180191634,186
Color,Francis Lawrence,502,146,508,523,Josh Hutcherson,34000,424645577,187
Color,Bill Condon,322,115,386,12000,Kristen Stewart,21000,292298923,188
Color,Tim Johnson,165,94,12,183,Matt Jones,17000,177343675,189
Color,Steven Spielberg,401,116,14000,807,Lisa Ann Walter,10000,234277056,190
Color,Michael Bay,94,147,0,877,Henry Rollins,10000,138396624,191
Color,Chris Miller,246,90,50,397,Constance Marie,4000,149234747,192
Color,Phillip Noyce,330,101,176,282,Andre Braugher,11000,118311368,193
Color,Darren Aronofsky,434,138,0,8000,Emma Watson,12000,101160529,194
Color,Steven Spielberg,440,107,14000,845,Mackenzie Crook,2000,77564037,195
Color,Alfonso Cuarón,274,142,0,10000,Gary Oldman,11000,249358727,196
Color,Baz Luhrmann,245,165,1000,165,Bryan Brown,309,49551662,197
Color,M. Night Shyamalan,349,100,0,894,Zoë Kravitz,10000,60522097,198
Color,Eric Leighton,145,82,0,388,D.B. Sweeney,1000,137748063,199
Color,Matt Birch,1,,0,159,Dave Legeno,10000,,200
Color,Shawn Levy,154,98,189,1000,Rami Malek,49000,113733726,201
Color,Tom McGrath,233,95,96,8000,Brad Pitt,24000,148337537,202
Color,Chris Columbus,258,159,0,645,Fiona Shaw,11000,317557891,203
Color,Robert Schwentke,208,96,124,1000,Jeff Bridges,16000,33592415,204
Color,Hideaki Anno,1,120,28,12,Shin'ya Tsukamoto,544,,205
Color,Gore Verbinski,271,143,563,1000,Orlando Bloom,40000,305388685,206
Color,Matt Birch,4,,0,1000,Toby Jones,10000,,207
Color,Francis Lawrence,403,123,508,14000,Philip Seymour Hoffman,34000,337103873,208
Color,Ron Howard,294,174,2000,362,Seth Gabel,15000,217536138,209
Color,Carlos Saldanha,159,101,107,56,Rachel Crow,688,131536019,210
Color,Bryan Singer,289,134,0,346,Bruce Davison,20000,214948780,211
Color,Justin Lin,342,132,681,12000,Vin Diesel,23000,209805005,212
Color,Guy Ritchie,382,129,0,154,Eddie Marsan,21000,186830669,213
Color,Louis Leterrier,344,106,255,850,Jason Flemyng,14000,163192114,214
Color,Paul Verhoeven,196,113,719,217,Rachel Ticotin,605,119412921,215
Color,John McTiernan,85,102,323,241,Vladimir Kulich,845,32694788,216
Color,Tony Gilroy,436,135,209,602,Scott Glenn,10000,113165635,217
Color,Joel Schumacher,183,125,541,409,Vivica A. Fox,920,107285004,218
Color,Ron Howard,175,110,2000,636,T.J. Thyne,1000,260031035,219
Color,Roland Emmerich,239,124,776,812,Dennis Quaid,15000,186739919,220
Color,John Woo,237,123,610,653,Dougray Scott,10000,215397307,221
Color,Wolfgang Petersen,231,130,249,461,Mary Elizabeth Mastrantonio,784,182618434,222
Color,Tim Story,262,92,167,702,Ioan Gruffudd,11000,131920333,223
Color,Ang Lee,552,127,0,341,Rafe Spall,774,124976634,224
Color,Mark Steven Johnson,276,123,160,402,Matt Long,12000,115802596,225
Color,Paul Greengrass,267,123,521,265,Riz Ahmed,13000,108521835,226
Color,McG,102,107,368,1000,Bernie Mac,2000,100685880,227
Color,Ridley Scott,775,124,0,641,Charlize Theron,13000,126464904,228
Color,Rob Minkoff,71,77,50,537,Brad Garrett,886,64736114,229
Color,Neill Blomkamp,476,109,662,1000,Sharlto Copley,13000,93050117,230
Color,David Twohy,207,134,123,567,Alexa Davalos,14000,57637485,231
Color,José Padilha,492,117,294,1000,Abbie Cornish,10000,58607007,232
Color,Lana Wachowski,284,135,0,87,Kick Gurry,690,43929341,233
Color,James L. Brooks,168,121,274,157,Domenick Lombardozzi,273,30212620,234
Color,James Mangold,283,117,446,877,Marc Blucas,10000,76418654,235
Color,Joseph Kosinski,539,124,364,1000,Tom Cruise,11000,89021735,236
Color,George Lucas,359,140,0,4000,Christopher Lee,20000,380262555,237
Color,George Lucas,284,142,0,4000,Christopher Lee,20000,310675583,238
Color,Pete Docter,250,92,0,773,John Ratzenberger,12000,289907418,239
Color,James Mangold,440,138,446,929,Tao Okamoto,20000,132550960,240
Color,George Lucas,320,136,0,1000,Liam Neeson,20000,474544677,241
Color,Kirk De Micco,257,98,16,12000,Emma Stone,16000,187165546,242
Color,Frédéric Forestier,33,116,0,141,Santiago Segura,936,,243
Color,John Woo,152,153,610,617,Roger Willie,12000,40911830,244
Color,Cedric Nicolas-Troyan,231,120,19,9000,Sam Claflin,26000,47952020,245
Color,Jonathan Liebesman,348,101,473,429,Danny Woodburn,833,190871240,246
Color,Alfonso Cuarón,738,91,0,13,Basher Savage,39,274084951,247
Color,Roger Donaldson,93,108,79,268,Grant Heslov,650,67155742,248
Color,Dave Green,181,112,13,799,Noel Fisher,5000,81638674,249
Color,Josh Trank,369,100,128,78,Reg E. Cathey,596,56114221,250
Color,Shawn Levy,179,108,189,1000,Rami Malek,49000,250863268,251
Color,Brad Peyton,358,114,62,884,Ioan Gruffudd,12000,155181732,252
Color,Roger Spottiswoode,160,119,55,387,Colin Salmon,811,125332007,253
Color,Roland Emmerich,192,142,776,1000,Adam Baldwin,13000,113330342,254
Color,Steven Soderbergh,198,125,0,350,Julia Roberts,11000,125531634,255
Color,Doug Liman,233,126,218,322,Angelina Jolie Pitt,11000,186336103,256
Color,Robert Schwentke,263,119,124,1000,Theo James,14000,129995817,257
 Black and White,Martin Scorsese,267,170,17000,827,Adam Scott,29000,102608827,258
Color,Rob Letterman,184,85,11,116,Catherine Tate,480,42776259,259
Color,Michel Gondry,447,119,1000,741,Tom Wilkinson,11000,98780042,260
,,,,,,,,,261
Color,Noam Murro,366,102,263,1000,Sullivan Stapleton,6000,106369117,262
Color,Raja Gosnell,172,103,67,111,Tim Gunn,383,142614158,263
Color,Will Finn,104,76,6,421,Roseanne Barr,12000,50026353,264
Color,Robert Schwentke,181,120,124,943,Theo James,6000,66002193,265
Color,Shawn Levy,327,127,189,544,Torey Michael Adkins,20000,85463309,266
Color,Raja Gosnell,125,105,67,40,Nancy O'Dell,681,71017784,267
Color,Jan de Bont,79,121,101,202,Temuera Morrison,673,48068396,268
Color,Gavin Hood,326,114,151,430,Moises Arias,11000,61656849,269
Color,Len Wiseman,354,129,235,297,Jonathan Sadowski,13000,134520804,270
Color,Peter Jackson,297,171,0,857,Orlando Bloom,16000,313837577,271
Color,Frank Coraci,188,120,153,447,Steve Coogan,1000,24004159,272
 Black and White,Michael Mann,174,165,0,780,Jada Pinkett Smith,10000,58183966,273
Color,Bo Welch,109,82,34,434,Kelly Preston,760,100446895,274
Color,Alex Proyas,225,115,295,466,Bruce Greenwood,10000,144795350,275
Color,Ridley Scott,239,194,0,195,Orlando Bloom,14000,47396698,276
Color,Rob Minkoff,101,84,50,692,Nathan Lane,979,140015224,277
Color,Ron Clements,228,97,63,525,Jenifer Lewis,852,104374107,278
Color,Ridley Scott,568,151,0,372,Donald Glover,13000,228430993,279
,Christopher Barnard,,22,0,,,5,,280
Color,Michael Bay,257,136,0,3000,Steve Buscemi,19000,35799026,281
Color,Peter Chelsom,62,104,23,591,Warren Beatty,752,6712451,282
Color,Dominic Sena,175,127,57,3000,Angelina Jolie Pitt,12000,101643008,283
Color,Ridley Scott,265,171,0,695,Connie Nielsen,3000,187670866,284
Color,Steven Spielberg,252,145,14000,533,Frank Grillo,10000,132014112,285
Color,Chris Columbus,232,174,0,9000,Rupert Grint,11000,261970615,286
 Black and White,Martin Campbell,400,144,258,834,Tobias Menzies,6000,167007184,287
Color,Tim Burton,230,119,13000,567,Estella Warren,1000,180011740,288
Color,James Cameron,210,153,0,539,Jenette Goldstein,780,204843350,289
Color,Michael Mann,357,140,0,1000,Christian Bale,40000,97030725,290
Color,Ridley Scott,300,176,0,561,Ruby Dee,18000,130127620,291
Color,James Cameron,94,141,0,618,Tia Carrere,2000,146282411,292
Color,Tony Scott,267,106,12000,385,Ramon Rodriguez,18000,65452312,293
Color,Paul Weitz,180,98,80,708,Blythe Danner,22000,148383780,294
Color,Adam McKay,265,116,285,107,Will Ferrell,12000,119219978,295
Color,Chuck Russell,81,115,55,383,James Coburn,1000,101228120,296
Color,Quentin Tarantino,765,165,16000,265,Christoph Waltz,29000,162804648,297
Color,Gary Trousdale,80,91,21,542,Jason Alexander,2000,100117603,298
Color,Mark Dindal,141,78,10,253,Wendie Malick,558,89296573,299
Color,Simon West,383,103,165,13000,Sylvester Stallone,26000,85017401,300
Color,Jon Turteltaub,193,131,226,341,Armando Riesco,12000,173005002,301
 Black and White,Stefen Fangmeier,170,104,14,203,Ed Speleers,3000,75030163,302
Color,Spike Jonze,333,101,0,279,Ryan Corr,925,77222184,303
Color,Joe Wright,256,111,456,394,Cara Delevingne,20000,34964818,304
Color,Chris Wedge,203,102,77,120,Emma Kenney,14000,107515297,305
Color,Florian Henckel von Donnersmarck,321,103,207,3000,Angelina Jolie Pitt,40000,67631157,306
Color,Peter Hyams,174,121,0,595,Mark Margolis,1000,66862068,307
Color,Edward Zwick,166,143,380,452,Djimon Hounsou,29000,57366262,308
Color,Martin Scorsese,606,240,17000,4000,Matthew McConaughey,29000,116866727,309
Color,Joel Schumacher,144,121,541,680,Rene Auberjonois,920,184031112,310
Color,Paul Verhoeven,192,129,719,423,Patrick Muldoon,660,54700065,311
Color,Tom Tykwer,511,172,670,1000,Jim Sturgess,15000,27098580,312
Color,Zack Snyder,188,101,0,577,Richard Roxburgh,2000,55673333,313
Color,Pitof,212,87,26,566,Christopher Heyerdahl,827,40198710,314
Color,Brett Ratner,245,101,420,467,Rufus Sewell,12000,72660029,315
Color,Ron Clements,127,95,63,720,Martin Short,23000,38120554,316
Color,Brad Silberling,167,102,52,526,Anna Friel,8000,49392095,317
Color,Patrick Hughes,320,131,385,11000,Sylvester Stallone,26000,39292022,318
Color,Ericson Core,163,114,19,848,Edgar Ramírez,1000,28772222,319
Color,Lawrence Guterman,78,94,6,227,Traylor Howard,490,17010646,320
Color,Ron Howard,289,122,2000,571,Benjamin Walker,26000,24985612,321
Color,Ron Underwood,66,95,31,683,Randy Quaid,3000,4411102,322
Color,Paul Greengrass,266,115,521,95,Sean Huze,13000,35024475,323
Color,Steve Martino,208,88,20,36,Venus Schultheis,144,130174897,324
Color,David Mamet,97,110,342,393,Felicity Huffman,623,10200000,325
Color,Stephen Sommers,202,130,208,591,Brendan Fraser,12000,202007640,326
Color,Martin Scorsese,233,216,17000,1000,Liam Neeson,29000,77679638,327
Color,Yimou Zhang,136,146,611,28,Ni Ni,23000,9213,328
Color,Ash Brannon,154,85,9,970,Zooey Deschanel,12000,58867694,329
Color,Frank Oz,169,93,0,465,Matthew Broderick,11000,59475623,330
Color,Ridley Scott,200,152,0,557,Sam Shepard,2000,108638745,331
Color,Jay Roach,255,85,116,329,Thomas Middleditch,8000,86897182,332
Color,Luc Besson,173,126,0,10000,Bruce Willis,14000,63540020,333
Color,Michael Patrick King,221,146,127,722,Liza Minnelli,962,95328937,334
Color,Bibo Bergeron,82,89,10,442,Rosie Perez,2000,50802661,335
Color,Steve Martino,233,88,20,916,Josh Gad,22000,161317423,336
Color,Kenneth Branagh,343,105,0,502,Derek Jacobi,2000,201148159,337
Color,Peter Jackson,308,135,0,310,AJ Michalka,873,43982842,338
Color,Andrew Stanton,301,100,475,799,Stephen Root,1000,380838870,339
Color,Peter Jackson,328,192,0,416,Billy Boyd,5000,377019252,340
Color,Peter Jackson,294,172,0,857,Orlando Bloom,16000,340478898,341
Color,Sergey Bodrov,175,102,44,766,Djimon Hounsou,12000,17176900,342
Color,Simon West,199,100,165,240,Noah Taylor,11000,131144183,343
Color,Wally Pfister,355,119,0,968,Morgan Freeman,40000,23014504,344
Color,Joe Johnston,198,92,394,527,Trevor Morgan,693,181166115,345
Color,Rupert Wyatt,529,105,81,779,David Oyelowo,11000,176740650,346
Color,Mark Waters,198,107,70,330,Tod Fennell,770,71148699,347
Color,John Moore,412,101,212,476,Cole Hauser,13000,67344392,348
Color,John Lee Hancock,106,137,102,877,Marc Blucas,2000,22406362,349
Color,Brad Bird,283,115,663,55,Craig T. Nelson,1000,261437578,350
Color,Renny Harlin,61,124,212,810,Frank Langella,1000,11000000,351
Color,Chris Columbus,217,118,0,1000,Rosario Dawson,8000,88761720,352
Color,Barry Sonnenfeld,175,98,188,602,Rip Torn,10000,250147615,353
Color,John Lasseter,191,82,487,967,John Ratzenberger,15000,245823397,354
Color,Tony Scott,316,98,12000,1000,Rosario Dawson,18000,81557479,355
Color,Brett Ratner,127,90,420,141,John Lone,191,226138454,356
Color,Robert Zemeckis,185,130,0,568,Amber Valletta,11000,155370362,357
Color,Phil Lord,191,90,97,56,Bobb'e J. Thompson,622,124870275,358
Color,Carlos Saldanha,188,94,107,117,Maile Flanagan,835,196573705,359
Color,Ben Stiller,362,114,0,423,Adrian Martinez,3000,58229120,360
Color,McG,181,94,368,466,LL Cool J,13000,125305545,361
Color,Martin Scorsese,352,151,17000,1000,Matt Damon,29000,132373442,362
Color,Tony Bancroft,143,88,7,484,Harvey Fierstein,2000,120618403,363
Color,Ben Stiller,308,121,0,918,Steve Coogan,21000,110416702,364
Color,David Fincher,517,158,21000,585,Goran Visnjic,18000,102515793,365
Color,John McTiernan,148,128,323,489,Aldis Hodge,13000,100012500,366
Color,Guy Ritchie,415,128,0,727,Eddie Marsan,21000,209019489,367
Color,Timur Bekmambetov,1,141,335,635,Ayelet Zurer,11000,,368
Color,Gary Trousdale,146,95,21,503,Jim Varney,12000,84037039,369
Color,Walt Becker,70,92,12,1000,Joshua Mikel,35000,85884815,370
Color,Bryan Singer,269,121,0,919,Tom Wilkinson,10000,83077470,371
Color,Dennis Dugan,198,113,221,503,Sayed Badreya,11000,100018837,372
Color,Chris Columbus,253,106,0,1000,Adam Sandler,22000,78747585,373
Color,Steven Spielberg,281,146,14000,681,William Hurt,3000,78616689,374
Color,Rob Minkoff,122,88,50,441,Rachael Harris,691,75817994,375
Color,Robert Zemeckis,159,150,0,135,Tom Skerritt,11000,100853835,376
